word_0	definition_0
word_382	definition_382
word_383	definition_383
word_384	definition_384
word_385	definition_385
word_386	definition_386
word_387	definition_387
word_388	definition_388
word_389	definition_389
word_390	definition_390
word_391	definition_391
word_392	definition_392
word_393	definition_393
word_394	definition_394
word_395	definition_395
word_396	definition_396
word_397	definition_397
word_398	definition_398
word_399	definition_399
word_400	definition_400
word_401	definition_401
word_402	definition_402
word_403	definition_403
word_404	definition_404
word_405	definition_405
word_406	definition_406
word_407	definition_407
word_408	definition_408
word_409	definition_409
word_410	definition_410
word_411	definition_411
word_412	definition_412
word_413	definition_413
word_414	definition_414
word_415	definition_415
word_416	definition_416
word_417	definition_417
word_418	definition_418
word_419	definition_419
word_420	definition_420
word_421	definition_421
word_422	definition_422
word_423	definition_423
word_424	definition_424
word_425	definition_425
word_426	definition_426
word_427	definition_427
word_428	definition_428
word_429	definition_429
word_430	definition_430
word_431	definition_431
word_432	definition_432
word_433	definition_433
word_434	definition_434
word_435	definition_435
word_436	definition_436
word_437	definition_437
word_438	definition_438
word_439	definition_439
word_440	definition_440
word_441	definition_441
word_442	definition_442
word_443	definition_443
word_444	definition_444
word_445	definition_445
word_446	definition_446
word_447	definition_447
word_448	definition_448
word_449	definition_449
word_450	definition_450
word_451	definition_451
word_452	definition_452
word_453	definition_453
word_454	definition_454
word_455	definition_455
word_456	definition_456
word_457	definition_457
word_458	definition_458
word_459	definition_459
word_460	definition_460
word_461	definition_461
word_462	definition_462
word_463	definition_463
word_464	definition_464
word_465	definition_465
word_466	definition_466
word_467	definition_467
word_468	definition_468
word_469	definition_469
word_470	definition_470
word_471	definition_471
word_472	definition_472
word_473	definition_473
word_474	definition_474
word_475	definition_475
word_476	definition_476
word_477	definition_477
word_478	definition_478
word_479	definition_479
word_480	definition_480
word_481	definition_481
word_482	definition_482
word_483	definition_483
word_484	definition_484
word_485	definition_485
word_486	definition_486
word_487	definition_487
word_488	definition_488
word_489	definition_489
word_490	definition_490
word_491	definition_491
word_492	definition_492
word_493	definition_493
word_494	definition_494
word_495	definition_495
word_496	definition_496
word_497	definition_497
word_498	definition_498
word_499	definition_499
word_500	definition_500
word_501	definition_501
word_502	definition_502
word_503	definition_503
word_504	definition_504
word_505	definition_505
word_506	definition_506
word_507	definition_507
word_508	definition_508
word_509	definition_509
word_510	definition_510
word_511	definition_511
word_512	definition_512
word_513	definition_513
word_514	definition_514
word_515	definition_515
word_516	definition_516
word_517	definition_517
word_518	definition_518
word_519	definition_519
word_520	definition_520
word_521	definition_521
word_522	definition_522
word_523	definition_523
word_524	definition_524
word_525	definition_525
word_526	definition_526
word_527	definition_527
word_528	definition_528
word_529	definition_529
word_530	definition_530
word_531	definition_531
word_532	definition_532
word_533	definition_533
word_534	definition_534
word_535	definition_535
word_536	definition_536
word_537	definition_537
word_538	definition_538
word_539	definition_539
word_540	definition_540
word_541	definition_541
word_542	definition_542
word_543	definition_543
word_544	definition_544
word_545	definition_545
word_546	definition_546
word_547	definition_547
word_548	definition_548
word_549	definition_549
word_550	definition_550
word_551	definition_551
word_552	definition_552
word_553	definition_553
word_554	definition_554
word_555	definition_555
word_556	definition_556
word_557	definition_557
word_558	definition_558
word_559	definition_559
word_560	definition_560
word_561	definition_561
word_562	definition_562
word_563	definition_563
word_564	definition_564
word_565	definition_565
word_566	definition_566
word_567	definition_567
word_568	definition_568
word_569	definition_569
word_570	definition_570
word_571	definition_571
word_572	definition_572
word_573	definition_573
word_574	definition_574
word_575	definition_575
word_576	definition_576
word_577	definition_577
word_578	definition_578
word_579	definition_579
word_580	definition_580
word_581	definition_581
word_582	definition_582
word_583	definition_583
word_584	definition_584
word_585	definition_585
word_586	definition_586
word_587	definition_587
word_588	definition_588
word_589	definition_589
word_590	definition_590
word_591	definition_591
word_592	definition_592
word_593	definition_593
word_594	definition_594
word_595	definition_595
word_596	definition_596
word_597	definition_597
word_598	definition_598
word_599	definition_599
word_600	definition_600
word_601	definition_601
word_602	definition_602
word_603	definition_603
word_604	definition_604
word_605	definition_605
word_606	definition_606
word_607	definition_607
word_608	definition_608
word_609	definition_609
word_610	definition_610
word_611	definition_611
word_612	definition_612
word_613	definition_613
word_614	definition_614
word_615	definition_615
word_616	definition_616
word_617	definition_617
word_618	definition_618
word_619	definition_619
word_620	definition_620
word_621	definition_621
word_622	definition_622
word_623	definition_623
word_624	definition_624
word_625	definition_625
word_626	definition_626
word_627	definition_627
word_628	definition_628
word_629	definition_629
word_630	definition_630
word_631	definition_631
word_632	definition_632
word_633	definition_633
word_634	definition_634
word_635	definition_635
word_636	definition_636
word_637	definition_637
word_638	definition_638
word_639	definition_639
word_640	definition_640
word_641	definition_641
word_642	definition_642
word_643	definition_643
word_644	definition_644
word_645	definition_645
word_646	definition_646
word_647	definition_647
word_648	definition_648
word_649	definition_649
word_650	definition_650
word_651	definition_651
word_652	definition_652
word_653	definition_653
word_654	definition_654
word_655	definition_655
word_656	definition_656
word_657	definition_657
word_658	definition_658
word_659	definition_659
word_660	definition_660
word_661	definition_661
word_662	definition_662
word_663	definition_663
word_664	definition_664
word_665	definition_665
word_666	definition_666
word_667	definition_667
word_668	definition_668
word_669	definition_669
word_670	definition_670
word_671	definition_671
word_672	definition_672
word_673	definition_673
word_674	definition_674
word_675	definition_675
word_676	definition_676
word_677	definition_677
word_678	definition_678
word_679	definition_679
word_680	definition_680
word_681	definition_681
word_682	definition_682
word_683	definition_683
word_684	definition_684
word_685	definition_685
word_686	definition_686
word_687	definition_687
word_688	definition_688
word_689	definition_689
word_690	definition_690
word_691	definition_691
word_692	definition_692
word_693	definition_693
word_694	definition_694
word_695	definition_695
word_696	definition_696
word_697	definition_697
word_698	definition_698
word_699	definition_699
word_700	definition_700
word_701	definition_701
word_702	definition_702
word_703	definition_703
word_704	definition_704
word_705	definition_705
word_706	definition_706
word_707	definition_707
word_708	definition_708
word_709	definition_709
word_710	definition_710
word_711	definition_711
word_712	definition_712
word_713	definition_713
word_714	definition_714
word_715	definition_715
word_716	definition_716
word_717	definition_717
word_718	definition_718
word_719	definition_719
word_720	definition_720
word_721	definition_721
word_722	definition_722
word_723	definition_723
word_724	definition_724
word_725	definition_725
word_726	definition_726
word_727	definition_727
word_728	definition_728
word_729	definition_729
word_730	definition_730
word_731	definition_731
word_732	definition_732
word_733	definition_733
word_734	definition_734
word_735	definition_735
word_736	definition_736
word_737	definition_737
word_738	definition_738
word_739	definition_739
word_740	definition_740
word_741	definition_741
word_742	definition_742
word_743	definition_743
word_744	definition_744
word_745	definition_745
word_746	definition_746
word_747	definition_747
word_748	definition_748
word_749	definition_749
word_750	definition_750
word_751	definition_751
word_752	definition_752
word_753	definition_753
word_754	definition_754
word_755	definition_755
word_756	definition_756
word_757	definition_757
word_758	definition_758
word_759	definition_759
word_760	definition_760
word_761	definition_761
word_762	definition_762
word_763	definition_763
word_764	definition_764
word_765	definition_765
word_766	definition_766
word_767	definition_767
word_768	definition_768
word_769	definition_769
word_770	definition_770
word_771	definition_771
word_772	definition_772
word_773	definition_773
word_774	definition_774
word_775	definition_775
word_776	definition_776
word_777	definition_777
word_778	definition_778
word_779	definition_779
word_780	definition_780
word_781	definition_781
word_782	definition_782
word_783	definition_783
word_784	definition_784
word_785	definition_785
word_786	definition_786
word_787	definition_787
word_788	definition_788
word_789	definition_789
word_790	definition_790
word_791	definition_791
word_792	definition_792
word_793	definition_793
word_794	definition_794
word_795	definition_795
word_796	definition_796
word_797	definition_797
word_798	definition_798
word_799	definition_799
word_800	definition_800
word_801	definition_801
word_802	definition_802
word_803	definition_803
word_804	definition_804
word_805	definition_805
word_806	definition_806
word_807	definition_807
word_808	definition_808
word_809	definition_809
word_810	definition_810
word_811	definition_811
word_812	definition_812
word_813	definition_813
word_814	definition_814
word_815	definition_815
word_816	definition_816
word_817	definition_817
word_818	definition_818
word_819	definition_819
word_820	definition_820
word_821	definition_821
word_822	definition_822
word_823	definition_823
word_824	definition_824
word_825	definition_825
word_826	definition_826
word_827	definition_827
word_828	definition_828
word_829	definition_829
word_830	definition_830
word_831	definition_831
word_832	definition_832
word_833	definition_833
word_834	definition_834
word_835	definition_835
word_836	definition_836
word_837	definition_837
word_838	definition_838
word_839	definition_839
word_840	definition_840
word_841	definition_841
word_842	definition_842
word_843	definition_843
word_844	definition_844
word_845	definition_845
word_846	definition_846
word_847	definition_847
word_848	definition_848
word_849	definition_849
word_850	definition_850
word_851	definition_851
word_852	definition_852
word_853	definition_853
word_854	definition_854
word_855	definition_855
word_856	definition_856
word_857	definition_857
word_858	definition_858
word_859	definition_859
word_860	definition_860
word_861	definition_861
word_862	definition_862
word_863	definition_863
word_864	definition_864
word_865	definition_865
word_866	definition_866
word_867	definition_867
word_868	definition_868
word_869	definition_869
word_870	definition_870
word_871	definition_871
word_872	definition_872
word_873	definition_873
word_874	definition_874
word_875	definition_875
word_876	definition_876
word_877	definition_877
word_878	definition_878
word_879	definition_879
word_880	definition_880
word_881	definition_881
word_882	definition_882
word_883	definition_883
word_884	definition_884
word_885	definition_885
word_886	definition_886
word_887	definition_887
word_888	definition_888
word_889	definition_889
word_890	definition_890
word_891	definition_891
word_892	definition_892
word_893	definition_893
word_894	definition_894
word_895	definition_895
word_896	definition_896
word_897	definition_897
word_898	definition_898
word_899	definition_899
word_900	definition_900
word_901	definition_901
word_902	definition_902
word_903	definition_903
word_904	definition_904
word_905	definition_905
word_906	definition_906
word_907	definition_907
word_908	definition_908
word_909	definition_909
word_910	definition_910
word_911	definition_911
word_912	definition_912
word_913	definition_913
word_914	definition_914
word_915	definition_915
word_916	definition_916
word_917	definition_917
word_918	definition_918
word_919	definition_919
word_920	definition_920
word_921	definition_921
word_922	definition_922
word_923	definition_923
word_924	definition_924
word_925	definition_925
word_926	definition_926
word_927	definition_927
word_928	definition_928
word_929	definition_929
word_930	definition_930
word_931	definition_931
word_932	definition_932
word_933	definition_933
word_934	definition_934
word_935	definition_935
word_936	definition_936
word_937	definition_937
word_938	definition_938
word_939	definition_939
word_940	definition_940
word_941	definition_941
word_942	definition_942
word_943	definition_943
word_944	definition_944
word_945	definition_945
word_946	definition_946
word_947	definition_947
word_948	definition_948
word_949	definition_949
word_950	definition_950
word_951	definition_951
word_952	definition_952
word_953	definition_953
word_954	definition_954
word_955	definition_955
word_956	definition_956
word_957	definition_957
word_958	definition_958
word_959	definition_959
word_960	definition_960
word_961	definition_961
word_962	definition_962
word_963	definition_963
word_964	definition_964
word_965	definition_965
word_966	definition_966
word_967	definition_967
word_968	definition_968
word_969	definition_969
word_970	definition_970
word_971	definition_971
word_972	definition_972
word_973	definition_973
word_974	definition_974
word_975	definition_975
word_976	definition_976
word_977	definition_977
word_978	definition_978
word_979	definition_979
word_980	definition_980
word_981	definition_981
word_982	definition_982
word_983	definition_983
word_984	definition_984
word_985	definition_985
word_986	definition_986
word_987	definition_987
word_988	definition_988
word_989	definition_989
word_990	definition_990
word_991	definition_991
word_992	definition_992
word_993	definition_993
word_994	definition_994
word_995	definition_995
word_996	definition_996
word_997	definition_997
word_998	definition_998
word_999	definition_999
